0,-0.199,1.689,0.082
0,0.1146367,-0.01775443,-0.6819238,0.7221655
0,0.015,-0.024,-0.23
0,0.5175442,0.6573686,-0.3105409,0.4511971
0,-0.002,0.016,-0.156
0,0.3105409,-0.4511972,-0.5175446,-0.6573684
0.02,-0.199,1.689,0.082
0.02,0.1146367,-0.01775443,-0.6819238,0.7221655
0.02,0.015,-0.024,-0.23
0.02,0.5175442,0.6573686,-0.3105409,0.4511971
0.02,-0.002,0.016,-0.156
0.02,0.3105409,-0.4511972,-0.5175446,-0.6573684
0.3533334,-0.6830646,1.151047,-0.3678835
0.3533334,0.05000876,-0.3941566,0.7420304,-0.5399358
0.3533334,-0.07097386,0.7749317,-0.07818143
0.3533334,-0.5364285,0.6215797,0.5312856,0.2088507
0.3533334,-0.002,0.016,-0.156
0.3533334,0.3105409,-0.4511972,-0.5175446,-0.6573684
0.4310106,-0.6605045,1.126864,-0.3406023
0.4310106,-0.01445334,-0.4346424,0.7475406,-0.5020559
0.4310106,-0.07149349,0.7751901,-0.07802039
0.4310106,-0.5365761,0.6212321,0.5315287,0.2088876
0.4310106,-0.002,0.016,-0.156
0.4310106,0.3105409,-0.4511972,-0.5175446,-0.6573684
0.4362929,-0.6600068,1.126997,-0.3401474
0.4362929,-0.01435426,-0.4343112,0.7472506,-0.5027765
0.4362929,-0.07149421,0.7751901,-0.0779635
0.4362929,-0.5365761,0.6212321,0.5315287,0.2088876
0.4362929,-0.002,0.016,-0.156
0.4362929,0.3105409,-0.4511972,-0.5175446,-0.6573684
0.4396572,-0.6596571,1.126598,-0.3396595
0.4396572,-0.01331937,-0.4331168,0.7465605,-0.5048563
0.4396572,-0.07168107,0.7749825,-0.07805608
0.4396572,-0.5365925,0.6212406,0.5315396,0.2087928
0.4396572,-0.002,0.016,-0.156
0.4396572,0.3105409,-0.4511972,-0.5175446,-0.6573684
0.4576762,-0.6587979,1.12676,-0.3388697
0.4576762,-0.01401517,-0.4323378,0.7460409,-0.5062712
0.4576762,-0.07169599,0.7749919,-0.07801704
0.4576762,-0.5365988,0.6212363,0.531539,0.2087905
0.4576762,-0.002,0.016,-0.156
0.4576762,0.3105409,-0.4511972,-0.5175446,-0.6573684
0.4701864,-0.6577852,1.126952,-0.3378074
0.4701864,-0.01509014,-0.4320452,0.745517,-0.5072607
0.4701864,-0.07180332,0.7749181,-0.07810156
0.4701864,-0.5366322,0.6212146,0.5315331,0.2087844
0.4701864,-0.002,0.016,-0.156
0.4701864,0.3105409,-0.4511972,-0.5175446,-0.6573684
0.488503,-0.6575718,1.127034,-0.3376866
0.488503,-0.01643279,-0.4323374,0.7451706,-0.5074792
0.488503,-0.07190964,0.7748716,-0.07811798
0.488503,-0.5366419,0.6212131,0.5315283,0.2087763
0.488503,-0.002,0.016,-0.156
0.488503,0.3105409,-0.4511972,-0.5175446,-0.6573684
0.4934723,-0.6571856,1.127005,-0.3373012
0.4934723,-0.01840813,-0.4326851,0.7445789,-0.5079833
0.4934723,-0.07189304,0.7748745,-0.07808009
0.4934723,-0.5366413,0.6212168,0.5315237,0.2087783
0.4934723,-0.002,0.016,-0.156
0.4934723,0.3105409,-0.4511972,-0.5175446,-0.6573684
0.5022919,-0.6567674,1.127017,-0.3369528
0.5022919,-0.0202461,-0.4327678,0.7439935,-0.5087002
0.5022919,-0.07212778,0.7748681,-0.07837343
0.5022919,-0.5366353,0.6212482,0.5314897,0.2087866
0.5022919,-0.002,0.016,-0.156
0.5022919,0.3105409,-0.4511972,-0.5175446,-0.6573684
